Maturity Type,Meaning
TV-MA,TV Show for Mature Audiences
TV-14,TV Show with Parents strongly cautioned. May not be suitable for ages under 14.
TV-G,TV Show Suitable for General Audiences
TV-PG,"	TV Show with Parental Guidance Suggested"
R,Restricted. May be inappropriate for ages under 17
PG-13,Parents strongly cautioned. May be inappropriate for ages under 13.
TV-Y7,TV Show suitable for Ages 7 and Up
PG,"	Parental Guidance Suggested"
TV-Y,TV show designed to be appropriate for all children
G,Suitable for General Audiences
NC-17,Inappropriate for Ages 17 and Under.
